song_name,weeks_on_top_chart
Praise God,8
Presepada,1
Privileged Rappers,2
Problemón,8
Prohibidox,5
Purple Hearts,1
Pussy & Millions (feat. Travis Scott),5
Question...?,6
Quevedo: Bzrp Music Sessions Vol. 52,25
Qué Agonía,2
Qué Más Pues?,5
RAPSTAR,6
REMIX,1
RUMBATÓN,6
Raindrops (Insane) [with Travis Scott],2
Rasputin,1
Ready For Love,1
Real Spill,1
Reputation,1
Residente: Bzrp Music Sessions Vol. 49,3
Revenge,34
Rich - Interlude,1
Rich Flex,8
Rich Spirit,3
Right On,1
Riptide,46
Rockin' Around The Christmas Tree,7
Rolling in the Deep,11
Romantic Homicide,17
Roses - Imanbek Remix,1
Rudolph The Red-Nosed Reindeer,2
Run BTS,8
Run Rudolph Run,3
Running Up That Hill (A Deal With God),30
Rush Hour (Feat. j-hope of BTS),1
SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),8
SAOKO,4
SIN SEÑAL,2
SLOW DANCING IN THE DARK,6
SNAP,25
SOS,1
SPACE MAN,1
SPIT IN MY FACE!,7
STAR WALKIN' (League of Legends Worlds Anthem),14
STAY (with Justin Bieber),52
STAYING ALIVE (feat. Drake & Lil Baby),7
SUMMER RENAISSANCE,2
SUPERMODEL,11
Sacrifice,11
Salimo de Noche,8
Salir Con Vida,1
San Lucas,5
Santa Baby,1
Santa Baby (with Henri René & His Orchestra),2
Santa Can’t You Hear Me,2
Santa Claus Is Comin' to Town - Live at C.W. Post College Greenvale NY - December 1975,2
Santa Claus Is Coming To Town,3
Santa Claus Is Coming to Town,1
Santa Tell Me,6
Satellite,7
Save Your Tears,52
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,38
Save Your Tears (with Ariana Grande) (Remix),11
Savior,2
Savior - Interlude,1
Say You Won't Let Go,12
Scrape It Off (feat. Lil Uzi Vert & Don Toliver),1
Se Le Ve,12
See You Again (feat. Kali Uchis),5
Seek & Destroy,2
Sehnsucht,1
September,1
Sex Drugs Etc.,20
Señorita,20
Shallow,12
Shape of You,40
Sharks,2
Shinunoga E-Wa,17
Shirt,9
Shivers,52
Shut Down,15
Shut up My Moms Calling,6
Si Estuviésemos Juntos,1
Si Quieren Frontear,8
Si Te La Encuentras Por Ahí,7
Siempre Pendientes,13
Sign of the Times,3
Sigue,3
Silent Hill,3
Sky,6
Sleigh Ride,6
SloMo,1
Smells Like Teen Spirit,43
Smokin Out The Window,8
Smoking on my Ex Pack,1
Snooze,2
Snow On The Beach (feat. Lana Del Rey),8
Snowman,6
So Good,1
Sobrio,11
Softcore,37
Someone You Loved,51
Something In The Way,10
Something Just Like This,17
Something in the Orange,16
Sometimes,1
Somewhere Only We Know,12
Soy El Unico,4
Space Song,13
Sparks,3
Special,2
Spin Bout U,3
Stan,10
Starboy,35
Stargirl Interlude,22
Starlight,10
Starry Eyes,1
Static,7
Stay Alive (Prod. SUGA of BTS),5
Stay With Me (with Justin Timberlake Halsey & Pharrell),7
Stefania (Kalush Orchestra),1
Step Into Christmas,2
Sticky,5
Still D.R.E.,14
Still Don't Know My Name,5
Still Life,2
Still Life (with Anderson .Paak),1
Streets,10
Summertime Sadness,20
Sunflower - Spider-Man: Into the Spider-Verse,47
Sunroof,34
Super Freaky Girl,19
Super Gremlin,17
Superhero (Heroes & Villains) [with Future & Chris Brown],4
Superman,13
Sure Thing,3
Surface Pressure,3
Sweater Weather,52
Sweet Child O' Mine,21
Sweet Nothing,5
Sweetest Pie,23
Swim,8
THATS WHAT I WANT,40
THE LONELIEST,7
THE SHADE,11
THIQUE,1
TO THE MOON,15
TOMBOY,2
TOUT VA BIEN (feat. Ninho & Naps),1
TUS LÁGRIMAS,7
TV,10
Tacones Rojos,26
Take Me to Church,30
Take My Breath,2
Take My Breath - Single Version,2
Talk,2
Talk that Talk,7
Talking to the Moon,17
Tally,2
Tarot,33
Te Amo Demais,1
Te Felicito,33
Texts Go Green,1
Thank God It's Christmas - 2011 Remaster,2
That That (prod. & feat. SUGA of BTS),6
That's Hilarious,1
The 30th,2
The Astronaut,5
The Business,11
The Christmas Song (Merry Christmas To You),5
The Family Madrigal,9
The Feels,4
The Foundations of Decay,1
The Great War,4
The Happiest Girl,2
The Heart Part 5,2
The Hills,34
The Joker And The Queen (feat. Taylor Swift),4
The Kind of Love We Make,2
The Motto,36
The Next Episode,3
The Night We Met,7
The Nights,28
The Real Slim Shady,52
The Rumbling (TV Size),1
The Scientist,3
There's Nothing Holdin' Me Back,20
Thinking with My Dick (feat. Juicy J),2
This Christmas,1
This Is Halloween - Soundtrack,1
This Love (Taylor’s Version),2
Thought You Should Know,1
Thousand Miles,12
Thriller,1
Thunder,12
Tiago PZK: Bzrp Music Sessions Vol. 48,24
Tie That Binds,1
Till I Collapse,25
Tiroteo - Remix,1
Tití Me Preguntó,34
Todo De Ti,30
Tom's Diner,8
Toma Toma Vapo Vapo,5
Too Late,1
Too Many Nights (feat. Don Toliver & with Future),4
Toxic,22
Trance (with Travis Scott & Young Thug),1
Treacherous Twins,1
True Love,5
Tubarão Te Amo,4
Typa Girl,5
ULTRA SOLO,18
ULTRA SOLO REMIX,15
Umbrella (with 21 Savage & Young Nudy),2
Un Coco,25
Un Ratito,23
Un Verano Sin Ti,11
Una Noche en Medellín,36
Under The Influence,23
Underneath the Tree,6
Unholy (feat. Kim Petras),14
United In Grief,3
Unstoppable,46
Until I Found You,34
Until I Found You (with Em Beihold) - Em Beihold Version,4
Used (feat. Don Toliver),2
VIRGO'S GROOVE,1
VISTA AL MAR,16
Vai Lá Em Casa Hoje,9
Vampiro,5
Vegas (From the Original Motion Picture Soundtrack ELVIS),26
Vigilante Shit,6
Villano Antillano: Bzrp Music Sessions Vol. 51,14
Viva La Vida,18
Volando - Remix,18
Volví,19
WA DA DA,4
WAIT FOR U (feat. Drake & Tems),33
WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1,4
Wait a Minute!,24
Waiting On A Miracle,3
Wake Me Up,27
Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa],1
Wandered To LA (with Justin Bieber),1
Wasting Angels (with The Kid LAROI),1
Watercolor Eyes - From “Euphoria” An HBO Original Series,1
Watermelon Sugar,52
Way 2 Sexy (with Future & Young Thug),6
We Cry Together,2
We Don't Talk About Bruno,19
We Made It,1
What Christmas Means To Me,1
